
2024/05/19 (02:30:51) | ===> btop++ v.1.3.2
2024/05/19 (04:29:34) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/19 (18:19:39) | ===> btop++ v.1.3.2
2024/05/19 (18:19:39) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/19 (18:19:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/19 (18:19:39) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/19 (18:19:39) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/19 (18:19:39) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/19 (18:20:52) | ===> btop++ v.1.3.2
2024/05/19 (18:20:52) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/19 (18:20:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/19 (18:20:52) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/19 (18:20:52) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/19 (18:20:52) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/19 (18:24:04) | ===> btop++ v.1.3.2
2024/05/19 (18:24:04) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/19 (18:24:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/19 (18:24:04) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/19 (18:24:04) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/19 (18:24:04) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/19 (19:42:44) | ===> btop++ v.1.3.2
2024/05/19 (19:42:44) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/19 (19:42:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/19 (19:42:44) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/19 (19:42:44) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/19 (19:42:44) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/19 (19:51:51) | ===> btop++ v.1.3.2
2024/05/19 (19:51:51) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/19 (19:51:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/19 (19:51:51) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/19 (19:51:51) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/19 (19:51:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/19 (20:54:01) | ===> btop++ v.1.3.2
2024/05/19 (20:54:01) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/19 (20:54:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/19 (20:54:01) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/19 (20:54:01) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/19 (20:54:01) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/19 (21:05:09) | ===> btop++ v.1.3.2
2024/05/19 (21:05:09) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/19 (21:05:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/19 (21:05:09) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/19 (21:05:09) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/19 (21:05:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/19 (21:10:42) | ===> btop++ v.1.3.2
2024/05/19 (21:10:42) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/19 (21:10:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/19 (21:10:42) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/19 (21:10:42) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/19 (21:10:42) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/19 (21:12:16) | ===> btop++ v.1.3.2
2024/05/19 (21:12:16) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/19 (21:12:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/19 (21:12:16) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/19 (21:12:16) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/19 (21:12:16) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/19 (23:45:29) | ===> btop++ v.1.3.2
2024/05/19 (23:45:29) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/19 (23:45:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/19 (23:45:29) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/19 (23:45:29) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/19 (23:45:29) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/19 (23:45:33) | ===> btop++ v.1.3.2
2024/05/19 (23:45:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/19 (23:45:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/19 (23:45:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/19 (23:45:33) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/19 (23:45:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/20 (11:03:40) | ===> btop++ v.1.3.2
2024/05/20 (11:03:40) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/20 (11:03:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/20 (11:03:40) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/20 (11:03:40) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/20 (11:03:40) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/20 (11:44:51) | ===> btop++ v.1.3.2
2024/05/20 (11:44:51) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/20 (11:44:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/20 (11:44:51) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/20 (11:44:51) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/20 (11:44:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/20 (13:19:29) | ===> btop++ v.1.3.2
2024/05/20 (13:19:29) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/20 (13:19:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/20 (13:19:29) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/20 (13:19:29) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/20 (13:19:29) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/21 (18:14:38) | ===> btop++ v.1.3.2
2024/05/21 (18:14:38) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/21 (18:14:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/21 (18:14:38) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/21 (18:14:38) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/21 (18:14:38) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/21 (20:33:52) | ===> btop++ v.1.3.2
2024/05/21 (20:33:52) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/21 (20:33:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/21 (20:33:52) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/21 (20:33:52) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/21 (20:33:52) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/22 (11:40:15) | ===> btop++ v.1.3.2
2024/05/22 (11:40:15) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/22 (11:40:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/22 (11:40:15) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/22 (11:40:15) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/22 (11:40:15) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/22 (14:22:28) | ===> btop++ v.1.3.2
2024/05/22 (14:22:28) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/22 (14:22:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/22 (14:22:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/22 (14:22:28) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/22 (14:22:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/22 (14:51:18) | ===> btop++ v.1.3.2
2024/05/22 (14:51:18) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/22 (14:51:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/22 (14:51:18) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/22 (14:51:18) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/22 (14:51:18) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/22 (14:51:19) | ===> btop++ v.1.3.2
2024/05/22 (14:51:19) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/22 (14:51:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/22 (14:51:19) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/22 (14:51:19) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/22 (14:51:19) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/22 (14:51:20) | ===> btop++ v.1.3.2
2024/05/22 (14:51:20) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/22 (14:51:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/22 (14:51:20) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/22 (14:51:20) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/22 (14:51:20) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/22 (14:51:21) | ===> btop++ v.1.3.2
2024/05/22 (14:51:21) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/22 (14:51:21) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/22 (14:51:21) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/22 (14:51:21) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/22 (14:51:21) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/22 (14:51:21) | ===> btop++ v.1.3.2
2024/05/22 (14:51:21) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/22 (14:51:21) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/22 (14:51:21) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/22 (14:51:21) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/22 (14:51:21) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/22 (16:58:54) | ===> btop++ v.1.3.2
2024/05/22 (16:58:54) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/22 (16:58:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/22 (16:58:54) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/22 (16:58:54) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/22 (16:58:54) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/22 (17:05:24) | ===> btop++ v.1.3.2
2024/05/22 (17:05:24) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/22 (17:05:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/22 (17:05:24) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/22 (17:05:24) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/22 (17:05:24) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/22 (19:27:53) | ===> btop++ v.1.3.2
2024/05/22 (19:27:53) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/22 (19:27:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/22 (19:27:53) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/22 (19:27:53) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/22 (19:27:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/22 (19:30:14) | ===> btop++ v.1.3.2
2024/05/22 (19:30:14) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/22 (19:30:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/22 (19:30:14) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/22 (19:30:14) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/22 (19:30:14) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/22 (20:22:29) | ===> btop++ v.1.3.2
2024/05/22 (20:22:29) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/22 (20:22:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/22 (20:22:29) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/22 (20:22:29) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/22 (20:22:29) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/23 (14:56:21) | ===> btop++ v.1.3.2
2024/05/23 (14:56:21) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/23 (14:56:21) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/23 (14:56:21) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/23 (14:56:21) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/23 (14:56:21) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/23 (15:15:08) | ===> btop++ v.1.3.2
2024/05/23 (15:15:08) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/23 (15:15:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/23 (15:15:08) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/23 (15:15:08) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/23 (15:15:08) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/23 (16:53:37) | ===> btop++ v.1.3.2
2024/05/23 (16:53:37) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/23 (16:53:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/23 (16:53:37) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/23 (16:53:37) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/23 (16:53:37) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/23 (21:29:12) | ===> btop++ v.1.3.2
2024/05/23 (21:29:12) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/23 (21:29:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/23 (21:29:12) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/23 (21:29:12) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/23 (21:29:12) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/23 (21:54:49) | ===> btop++ v.1.3.2
2024/05/23 (21:54:49) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/23 (21:54:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/23 (21:54:49) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/23 (21:54:49) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/23 (21:54:49) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/24 (01:42:27) | ===> btop++ v.1.3.2
2024/05/24 (01:42:27) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/24 (01:42:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/24 (01:42:27) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/24 (01:42:27) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/24 (01:42:27) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/24 (01:42:59) | ===> btop++ v.1.3.2
2024/05/24 (01:42:59) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/24 (01:42:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/24 (01:42:59) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/24 (01:42:59) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/24 (01:42:59) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/24 (14:37:07) | ===> btop++ v.1.3.2
2024/05/24 (14:37:07) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/24 (14:37:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/24 (14:37:07) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/24 (14:37:07) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/24 (14:37:07) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/24 (14:37:44) | ===> btop++ v.1.3.2
2024/05/24 (14:37:44) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/24 (14:37:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/24 (14:37:44) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/24 (14:37:44) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/24 (14:37:44) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/24 (14:37:46) | ===> btop++ v.1.3.2
2024/05/24 (14:37:46) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/24 (14:37:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/24 (14:37:46) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/24 (14:37:46) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/24 (14:37:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/24 (14:51:44) | ===> btop++ v.1.3.2
2024/05/24 (14:51:44) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/24 (14:51:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/24 (14:51:44) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/24 (14:51:44) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/24 (14:51:44) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/24 (14:54:26) | ===> btop++ v.1.3.2
2024/05/24 (14:54:26) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/24 (14:54:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/24 (14:54:26) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/24 (14:54:26) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/24 (14:54:26) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/24 (14:54:50) | ===> btop++ v.1.3.2
2024/05/24 (14:54:50) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/24 (14:54:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/24 (14:54:50) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/24 (14:54:50) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/24 (14:54:50) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/24 (14:57:36) | ===> btop++ v.1.3.2
2024/05/24 (14:57:36) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/24 (14:57:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/24 (14:57:36) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/24 (14:57:36) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/24 (14:57:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/24 (14:58:15) | ===> btop++ v.1.3.2
2024/05/24 (14:58:15) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/24 (14:58:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/24 (14:58:15) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/24 (14:58:15) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/24 (14:58:15) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/24 (15:11:53) | ===> btop++ v.1.3.2
2024/05/24 (15:11:53) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/24 (15:11:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/24 (15:11:53) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/24 (15:11:53) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/24 (15:11:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/24 (16:22:48) | ===> btop++ v.1.3.2
